recall,precision
1.000000000000000000e+00,1.683067526297929994e-01
1.000000000000000000e+00,1.683638832315003386e-01
1.000000000000000000e+00,1.684210526315789436e-01
1.000000000000000000e+00,1.684782608695652162e-01
1.000000000000000000e+00,1.685355079850492654e-01
1.000000000000000000e+00,1.685927940176750461e-01
1.000000000000000000e+00,1.686501190071404421e-01
1.000000000000000000e+00,1.687074829931972664e-01
1.000000000000000000e+00,1.687648860156515940e-01
1.000000000000000000e+00,1.688223281143635124e-01
1.000000000000000000e+00,1.688798093292475377e-01
1.000000000000000000e+00,1.689373297002724761e-01
1.000000000000000000e+00,1.689948892674616732e-01
1.000000000000000000e+00,1.690524880708929867e-01
1.000000000000000000e+00,1.691101261506989528e-01
1.000000000000000000e+00,1.691678035470668418e-01
1.000000000000000000e+00,1.692255203002388242e-01
1.000000000000000000e+00,1.692832764505119436e-01
1.000000000000000000e+00,1.693410720382383106e-01
1.000000000000000000e+00,1.693989071038251304e-01
1.000000000000000000e+00,1.694567816877348698e-01
1.000000000000000000e+00,1.695146958304853124e-01
1.000000000000000000e+00,1.695726495726495864e-01
1.000000000000000000e+00,1.696306429548563588e-01
1.000000000000000000e+00,1.696886760177899467e-01
1.000000000000000000e+00,1.697467488021902893e-01
1.000000000000000000e+00,1.698048613488531422e-01
1.000000000000000000e+00,1.698630136986301331e-01
1.000000000000000000e+00,1.699212058924289004e-01
1.000000000000000000e+00,1.699794379712131487e-01
1.000000000000000000e+00,1.700377099760027322e-01
1.000000000000000000e+00,1.700960219478737934e-01
1.000000000000000000e+00,1.701543739279588463e-01
1.000000000000000000e+00,1.702127659574468044e-01
1.000000000000000000e+00,1.702711980775832579e-01
1.000000000000000000e+00,1.703296703296703352e-01
1.000000000000000000e+00,1.703881827550669803e-01
1.000000000000000000e+00,1.704467353951890085e-01
1.000000000000000000e+00,1.705053282915091062e-01
1.000000000000000000e+00,1.705639614855570807e-01
1.000000000000000000e+00,1.706226350189198604e-01
1.000000000000000000e+00,1.706813489332415779e-01
1.000000000000000000e+00,1.707401032702237642e-01
1.000000000000000000e+00,1.707988980716253491e-01
1.000000000000000000e+00,1.708577333792628272e-01
1.000000000000000000e+00,1.709166092350103416e-01
1.000000000000000000e+00,1.709755256807997115e-01
1.000000000000000000e+00,1.710344827586206817e-01
1.000000000000000000e+00,1.710934805105208678e-01
1.000000000000000000e+00,1.711525189786059220e-01
1.000000000000000000e+00,1.712115982050397001e-01
1.000000000000000000e+00,1.712707182320442056e-01
1.000000000000000000e+00,1.713298791018998402e-01
1.000000000000000000e+00,1.713890808569454027e-01
1.000000000000000000e+00,1.714483235395782845e-01
1.000000000000000000e+00,1.715076071922544965e-01
1.000000000000000000e+00,1.715669318574887525e-01
1.000000000000000000e+00,1.716262975778546640e-01
1.000000000000000000e+00,1.716857043959847673e-01
