fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.380952380952381167e-03
0.000000000000000000e+00,9.714285714285714191e-01
3.957261574990106855e-04,9.714285714285714191e-01
3.957261574990106855e-04,9.738095238095237915e-01
1.187178472497032056e-03,9.738095238095237915e-01
1.187178472497032056e-03,9.857142857142857650e-01
2.770083102493074798e-03,9.857142857142857650e-01
2.770083102493074798e-03,9.904761904761905100e-01
4.748713889988128226e-03,9.904761904761905100e-01
4.748713889988128226e-03,9.952380952380952550e-01
6.727344677483181219e-03,9.952380952380952550e-01
6.727344677483181219e-03,9.976190476190476275e-01
7.123070834982192338e-03,9.976190476190476275e-01
7.123070834982192338e-03,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
