fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.016129032258064460e-03
0.000000000000000000e+00,1.733870967741935609e-01
0.000000000000000000e+00,1.774193548387096864e-01
0.000000000000000000e+00,2.661290322580645018e-01
0.000000000000000000e+00,2.701612903225806273e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.156262749898000264e-01,1.000000000000000000e+00
7.164422684618523274e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
