recall,precision
1.000000000000000000e+00,1.598235493722429679e-01
1.000000000000000000e+00,1.598778004073319881e-01
1.000000000000000000e+00,1.599320882852292014e-01
1.000000000000000000e+00,1.599864130434782705e-01
1.000000000000000000e+00,1.600407747196737895e-01
1.000000000000000000e+00,1.600951733514615893e-01
1.000000000000000000e+00,1.601496089765385988e-01
1.000000000000000000e+00,1.602040816326530670e-01
1.000000000000000000e+00,1.602585913576046184e-01
1.000000000000000000e+00,1.603131381892443919e-01
1.000000000000000000e+00,1.603677221654749852e-01
1.000000000000000000e+00,1.604223433242506769e-01
1.000000000000000000e+00,1.604770017035775098e-01
1.000000000000000000e+00,1.605316973415132908e-01
1.000000000000000000e+00,1.605864302761677576e-01
1.000000000000000000e+00,1.606412005457025782e-01
1.000000000000000000e+00,1.606960081883316294e-01
1.000000000000000000e+00,1.607508532423208292e-01
1.000000000000000000e+00,1.608057357459883874e-01
1.000000000000000000e+00,1.608606557377049162e-01
1.000000000000000000e+00,1.609156132558934027e-01
1.000000000000000000e+00,1.609706083390294029e-01
1.000000000000000000e+00,1.610256410256410142e-01
1.000000000000000000e+00,1.610807113543091529e-01
1.000000000000000000e+00,1.611358193636674707e-01
1.000000000000000000e+00,1.611909650924024662e-01
1.000000000000000000e+00,1.612461485792536786e-01
1.000000000000000000e+00,1.613013698630136883e-01
1.000000000000000000e+00,1.613566289825282551e-01
1.000000000000000000e+00,1.614119259766963743e-01
1.000000000000000000e+00,1.614672608844703594e-01
1.000000000000000000e+00,1.615226337448559535e-01
1.000000000000000000e+00,1.615780445969125234e-01
1.000000000000000000e+00,1.616334934797529210e-01
1.000000000000000000e+00,1.616889804325437607e-01
1.000000000000000000e+00,1.617445054945055027e-01
1.000000000000000000e+00,1.618000687049123976e-01
1.000000000000000000e+00,1.618556701030927913e-01
1.000000000000000000e+00,1.619113097284290148e-01
1.000000000000000000e+00,1.619669876203576331e-01
1.000000000000000000e+00,1.620227038183694457e-01
1.000000000000000000e+00,1.620784583620096253e-01
1.000000000000000000e+00,1.621342512908778011e-01
1.000000000000000000e+00,1.621900826446280863e-01
1.000000000000000000e+00,1.622459524629693284e-01
1.000000000000000000e+00,1.623018607856650530e-01
1.000000000000000000e+00,1.623578076525336034e-01
1.000000000000000000e+00,1.624137931034482785e-01
1.000000000000000000e+00,1.624698171783373613e-01
1.000000000000000000e+00,1.625258799171842572e-01
1.000000000000000000e+00,1.625819813600276054e-01
1.000000000000000000e+00,1.626381215469613339e-01
1.000000000000000000e+00,1.626943005181347157e-01
1.000000000000000000e+00,1.627505183137525901e-01
1.000000000000000000e+00,1.628067749740753634e-01
1.000000000000000000e+00,1.628630705394190914e-01
1.000000000000000000e+00,1.629194050501556468e-01
1.000000000000000000e+00,1.629757785467128017e-01
1.000000000000000000e+00,1.630321910695742560e-01
1.000000000000000000e+00,1.630886426592797755e-01
1.000000000000000000e+00,1.631451333564253592e-01
1.000000000000000000e+00,1.632016632016632107e-01
1.000000000000000000e+00,1.632582322357019056e-01
1.000000000000000000e+00,1.633148404993065295e-01
1.000000000000000000e+00,1.633714880332986508e-01
1.000000000000000000e+00,1.634281748785565702e-01
1.000000000000000000e+00,1.634849010760152654e-01
1.000000000000000000e+00,1.635416666666666685e-01
1.000000000000000000e+00,1.635984716915595827e-01
