fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.879699248120300648e-03
0.000000000000000000e+00,1.503759398496240518e-02
4.140786749482401629e-04,1.503759398496240518e-02
4.140786749482401629e-04,7.142857142857142461e-02
8.281573498964803258e-04,7.142857142857142461e-02
8.281573498964803258e-04,1.165413533834586401e-01
1.242236024844720543e-03,1.165413533834586401e-01
1.242236024844720543e-03,1.428571428571428492e-01
1.656314699792960652e-03,1.428571428571428492e-01
1.656314699792960652e-03,1.447368421052631637e-01
2.070393374741200977e-03,1.447368421052631637e-01
2.070393374741200977e-03,1.804511278195488622e-01
2.484472049689441086e-03,1.804511278195488622e-01
2.484472049689441086e-03,2.462406015037593987e-01
2.898550724637681195e-03,2.462406015037593987e-01
2.898550724637681195e-03,3.026315789473684181e-01
3.312629399585921303e-03,3.026315789473684181e-01
3.312629399585921303e-03,3.270676691729323404e-01
3.726708074534161412e-03,3.270676691729323404e-01
3.726708074534161412e-03,3.684210526315789269e-01
4.140786749482401954e-03,3.684210526315789269e-01
4.140786749482401954e-03,3.984962406015037373e-01
4.554865424430641629e-03,3.984962406015037373e-01
4.554865424430641629e-03,4.567669172932330990e-01
4.968944099378882172e-03,4.567669172932330990e-01
4.968944099378882172e-03,4.924812030075187974e-01
5.383022774327121847e-03,4.924812030075187974e-01
5.383022774327121847e-03,5.056390977443608881e-01
5.797101449275362389e-03,5.056390977443608881e-01
5.797101449275362389e-03,5.357142857142856984e-01
6.211180124223602064e-03,5.357142857142856984e-01
6.211180124223602064e-03,5.676691729323308788e-01
6.625258799171842607e-03,5.676691729323308788e-01
6.625258799171842607e-03,5.902255639097744311e-01
7.039337474120083149e-03,5.902255639097744311e-01
7.039337474120083149e-03,6.635338345864661980e-01
7.453416149068322824e-03,6.635338345864661980e-01
7.453416149068322824e-03,6.936090225563910083e-01
7.867494824016562499e-03,6.936090225563910083e-01
7.867494824016562499e-03,7.011278195488721554e-01
8.281573498964803909e-03,7.011278195488721554e-01
8.281573498964803909e-03,7.086466165413534135e-01
8.695652173913043584e-03,7.086466165413534135e-01
8.695652173913043584e-03,7.180451127819549306e-01
9.109730848861283259e-03,7.180451127819549306e-01
9.109730848861283259e-03,7.500000000000000000e-01
9.523809523809524669e-03,7.500000000000000000e-01
9.523809523809524669e-03,7.593984962406015171e-01
9.937888198757764344e-03,7.593984962406015171e-01
9.937888198757764344e-03,7.687969924812030342e-01
1.076604554865424369e-02,7.687969924812030342e-01
1.076604554865424369e-02,7.819548872180450694e-01
1.118012422360248510e-02,7.819548872180450694e-01
1.118012422360248510e-02,7.969924812030074746e-01
1.159420289855072478e-02,7.969924812030074746e-01
1.159420289855072478e-02,7.988721804511278446e-01
1.242236024844720413e-02,7.988721804511278446e-01
1.242236024844720413e-02,8.063909774436089917e-01
1.283643892339544554e-02,8.063909774436089917e-01
1.283643892339544554e-02,8.270676691729322849e-01
1.325051759834368521e-02,8.270676691729322849e-01
1.325051759834368521e-02,8.327067669172932840e-01
1.366459627329192489e-02,8.327067669172932840e-01
1.366459627329192489e-02,8.364661654135338020e-01
1.407867494824016630e-02,8.364661654135338020e-01
1.407867494824016630e-02,8.439849624060150601e-01
1.449275362318840597e-02,8.439849624060150601e-01
1.449275362318840597e-02,8.458646616541353191e-01
1.532091097308488532e-02,8.458646616541353191e-01
1.532091097308488532e-02,8.684210526315789824e-01
1.614906832298136641e-02,8.684210526315789824e-01
1.614906832298136641e-02,8.759398496240601295e-01
2.194616977225672880e-02,8.759398496240601295e-01
2.194616977225672880e-02,8.778195488721804995e-01
2.360248447204969097e-02,8.778195488721804995e-01
2.360248447204969097e-02,8.815789473684210176e-01
2.401656314699792891e-02,8.815789473684210176e-01
2.401656314699792891e-02,8.872180451127819056e-01
2.443064182194617032e-02,8.872180451127819056e-01
2.443064182194617032e-02,9.041353383458646809e-01
2.484472049689440826e-02,9.041353383458646809e-01
2.484472049689440826e-02,9.060150375939849399e-01
2.525879917184264967e-02,9.060150375939849399e-01
2.525879917184264967e-02,9.078947368421053099e-01
2.567287784679089108e-02,9.078947368421053099e-01
2.567287784679089108e-02,9.116541353383458279e-01
2.608695652173912902e-02,9.116541353383458279e-01
2.608695652173912902e-02,9.135338345864661980e-01
2.732919254658384978e-02,9.135338345864661980e-01
2.732919254658384978e-02,9.172932330827067160e-01
2.857142857142857054e-02,9.172932330827067160e-01
2.857142857142857054e-02,9.248120300751879741e-01
2.898550724637681195e-02,9.248120300751879741e-01
2.898550724637681195e-02,9.266917293233082331e-01
2.981366459627329130e-02,9.266917293233082331e-01
2.981366459627329130e-02,9.304511278195488622e-01
3.064182194616977065e-02,9.304511278195488622e-01
3.064182194616977065e-02,9.323308270676691212e-01
3.146997929606625000e-02,9.323308270676691212e-01
3.146997929606625000e-02,9.360902255639097502e-01
3.271221532091097423e-02,9.360902255639097502e-01
3.271221532091097423e-02,9.417293233082706383e-01
3.602484472049689163e-02,9.417293233082706383e-01
3.602484472049689163e-02,9.436090225563910083e-01
3.726708074534161586e-02,9.436090225563910083e-01
3.726708074534161586e-02,9.454887218045112673e-01
3.850931677018633315e-02,9.454887218045112673e-01
3.850931677018633315e-02,9.473684210526315264e-01
3.975155279503105737e-02,9.473684210526315264e-01
3.975155279503105737e-02,9.492481203007518964e-01
4.265010351966874030e-02,9.492481203007518964e-01
4.265010351966874030e-02,9.530075187969925254e-01
4.472049689440994041e-02,9.530075187969925254e-01
4.472049689440994041e-02,9.548872180451127845e-01
4.761904761904761640e-02,9.548872180451127845e-01
4.761904761904761640e-02,9.567669172932330435e-01
5.010351966873705792e-02,9.567669172932330435e-01
5.010351966873705792e-02,9.586466165413534135e-01
5.134575569358178215e-02,9.586466165413534135e-01
5.134575569358178215e-02,9.605263157894736725e-01
5.383022774327122367e-02,9.605263157894736725e-01
5.383022774327122367e-02,9.624060150375939315e-01
5.672877846790889966e-02,9.624060150375939315e-01
5.672877846790889966e-02,9.642857142857143016e-01
5.879917184265010671e-02,9.642857142857143016e-01
5.879917184265010671e-02,9.661654135338345606e-01
6.086956521739130682e-02,9.661654135338345606e-01
6.086956521739130682e-02,9.680451127819549306e-01
7.039337474120083149e-02,9.680451127819549306e-01
7.039337474120083149e-02,9.699248120300751896e-01
7.163561076604554878e-02,9.699248120300751896e-01
7.163561076604554878e-02,9.718045112781954487e-01
7.204968944099378325e-02,9.718045112781954487e-01
7.204968944099378325e-02,9.736842105263158187e-01
7.453416149068323171e-02,9.736842105263158187e-01
7.453416149068323171e-02,9.755639097744360777e-01
8.819875776397514966e-02,9.755639097744360777e-01
8.819875776397514966e-02,9.774436090225563367e-01
9.565217391304348116e-02,9.774436090225563367e-01
9.565217391304348116e-02,9.793233082706767068e-01
1.507246376811594291e-01,9.793233082706767068e-01
1.507246376811594291e-01,9.812030075187969658e-01
1.755693581780538304e-01,9.812030075187969658e-01
1.755693581780538304e-01,9.830827067669173358e-01
2.128364389233954324e-01,9.830827067669173358e-01
2.128364389233954324e-01,9.849624060150375948e-01
4.861283643892339579e-01,9.849624060150375948e-01
4.861283643892339579e-01,9.868421052631578538e-01
5.813664596273292462e-01,9.868421052631578538e-01
5.813664596273292462e-01,9.887218045112782239e-01
6.968944099378882040e-01,9.887218045112782239e-01
6.968944099378882040e-01,9.906015037593984829e-01
