recall,precision
1.000000000000000000e+00,1.822192059721750856e-01
1.000000000000000000e+00,1.822810590631364636e-01
1.000000000000000000e+00,1.823429541595925352e-01
1.000000000000000000e+00,1.824048913043478382e-01
1.000000000000000000e+00,1.824668705402650304e-01
1.000000000000000000e+00,1.825288919102651120e-01
1.000000000000000000e+00,1.825909554573274529e-01
1.000000000000000000e+00,1.826530612244897933e-01
1.000000000000000000e+00,1.827152092548485762e-01
1.000000000000000000e+00,1.827773995915588923e-01
1.000000000000000000e+00,1.828396322778345351e-01
1.000000000000000000e+00,1.829019073569482234e-01
1.000000000000000000e+00,1.829642248722316844e-01
1.000000000000000000e+00,1.830265848670756534e-01
1.000000000000000000e+00,1.830889873849300964e-01
1.000000000000000000e+00,1.831514324693042373e-01
1.000000000000000000e+00,1.832139201637666415e-01
1.000000000000000000e+00,1.832764505119453824e-01
1.000000000000000000e+00,1.833390235575281801e-01
1.000000000000000000e+00,1.834016393442622905e-01
1.000000000000000000e+00,1.834642979159548937e-01
1.000000000000000000e+00,1.835269993164730107e-01
1.000000000000000000e+00,1.835897435897435870e-01
1.000000000000000000e+00,1.836525307797537698e-01
1.000000000000000000e+00,1.837153609305507973e-01
1.000000000000000000e+00,1.837782340862423036e-01
1.000000000000000000e+00,1.838411502909962358e-01
1.000000000000000000e+00,1.839041095890411037e-01
1.000000000000000000e+00,1.839671120246659797e-01
1.000000000000000000e+00,1.840301576422206931e-01
1.000000000000000000e+00,1.840932464861158857e-01
1.000000000000000000e+00,1.841563786008230397e-01
1.000000000000000000e+00,1.842195540308747825e-01
1.000000000000000000e+00,1.842827728208648042e-01
1.000000000000000000e+00,1.843460350154479954e-01
1.000000000000000000e+00,1.844093406593406703e-01
1.000000000000000000e+00,1.844726897973205104e-01
1.000000000000000000e+00,1.845360824742268147e-01
1.000000000000000000e+00,1.845995187349604716e-01
1.000000000000000000e+00,1.846629986244841815e-01
1.000000000000000000e+00,1.847265221878224839e-01
1.000000000000000000e+00,1.847900894700619523e-01
