recall,precision
1.000000000000000000e+00,1.805225653206650738e-01
1.000000000000000000e+00,1.805838424983027823e-01
1.000000000000000000e+00,1.806451612903225701e-01
9.981203007518797410e-01,1.803668478260869457e-01
9.981203007518797410e-01,1.804281345565749151e-01
9.981203007518797410e-01,1.804894629503739079e-01
9.981203007518797410e-01,1.805508330499830116e-01
9.981203007518797410e-01,1.806122448979591844e-01
9.981203007518797410e-01,1.806736985369173099e-01
9.981203007518797410e-01,1.807351940095302811e-01
9.981203007518797410e-01,1.807967313585291114e-01
9.981203007518797410e-01,1.808583106267029894e-01
9.981203007518797410e-01,1.809199318568995019e-01
9.981203007518797410e-01,1.809815950920245498e-01
9.981203007518797410e-01,1.810433003750426262e-01
9.962406015037593709e-01,1.807639836289222368e-01
9.962406015037593709e-01,1.808256567724326191e-01
9.962406015037593709e-01,1.808873720136518759e-01
9.943609022556391119e-01,1.806077159440082069e-01
9.943609022556391119e-01,1.806693989071038176e-01
9.943609022556391119e-01,1.807311240177656431e-01
9.943609022556391119e-01,1.807928913192071163e-01
9.943609022556391119e-01,1.808547008547008450e-01
9.943609022556391119e-01,1.809165526675786673e-01
9.943609022556391119e-01,1.809784468012316239e-01
9.943609022556391119e-01,1.810403832991102080e-01
9.943609022556391119e-01,1.811023622047244208e-01
9.943609022556391119e-01,1.811643835616438269e-01
9.943609022556391119e-01,1.812264474134977765e-01
9.943609022556391119e-01,1.812885538039753219e-01
9.943609022556391119e-01,1.813507027768254953e-01
9.943609022556391119e-01,1.814128943758573365e-01
9.943609022556391119e-01,1.814751286449399759e-01
9.943609022556391119e-01,1.815374056280027459e-01
9.943609022556391119e-01,1.815997253690353475e-01
9.943609022556391119e-01,1.816620879120879051e-01
9.943609022556391119e-01,1.817244933012710506e-01
9.943609022556391119e-01,1.817869415807560063e-01
9.943609022556391119e-01,1.818494327947748346e-01
9.943609022556391119e-01,1.819119669876203549e-01
9.943609022556391119e-01,1.819745442036463656e-01
9.943609022556391119e-01,1.820371644872677275e-01
9.943609022556391119e-01,1.820998278829604189e-01
9.943609022556391119e-01,1.821625344352617026e-01
9.943609022556391119e-01,1.822252841887702368e-01
9.943609022556391119e-01,1.822880771881461026e-01
9.943609022556391119e-01,1.823509134781109986e-01
9.943609022556391119e-01,1.824137931034482685e-01
9.943609022556391119e-01,1.824767161090030954e-01
9.943609022556391119e-01,1.825396825396825295e-01
9.943609022556391119e-01,1.826026924404556551e-01
9.943609022556391119e-01,1.826657458563535896e-01
9.943609022556391119e-01,1.827288428324697622e-01
9.943609022556391119e-01,1.827919834139599131e-01
9.943609022556391119e-01,1.828551676460421771e-01
9.943609022556391119e-01,1.829183955739972223e-01
9.943609022556391119e-01,1.829816672431684443e-01
9.943609022556391119e-01,1.830449826989619388e-01
9.943609022556391119e-01,1.831083419868466677e-01
9.943609022556391119e-01,1.831717451523545703e-01
9.943609022556391119e-01,1.832351922410807021e-01
9.943609022556391119e-01,1.832986832986832904e-01
9.943609022556391119e-01,1.833622183708838727e-01
9.943609022556391119e-01,1.834257975034674082e-01
9.943609022556391119e-01,1.834894207422823331e-01
9.943609022556391119e-01,1.835530881332408104e-01
9.943609022556391119e-01,1.836167997223186465e-01
9.943609022556391119e-01,1.836805555555555691e-01
9.943609022556391119e-01,1.837443556790552268e-01
9.943609022556391119e-01,1.838082001389854114e-01
9.943609022556391119e-01,1.838720889815780302e-01
9.943609022556391119e-01,1.839360222531293554e-01
9.943609022556391119e-01,1.839999999999999969e-01
9.943609022556391119e-01,1.840640222686151795e-01
9.943609022556391119e-01,1.841280891054646596e-01
9.943609022556391119e-01,1.841922005571030585e-01
9.943609022556391119e-01,1.842563566701497790e-01
9.943609022556391119e-01,1.843205574912891997e-01
9.943609022556391119e-01,1.843848030672708138e-01
9.943609022556391119e-01,1.844490934449093400e-01
9.943609022556391119e-01,1.845134286710847504e-01
9.943609022556391119e-01,1.845778087927424926e-01
9.943609022556391119e-01,1.846422338568935451e-01
9.943609022556391119e-01,1.847067039106145281e-01
9.943609022556391119e-01,1.847712190010478428e-01
9.943609022556391119e-01,1.848357791754018098e-01
9.943609022556391119e-01,1.849003844809507247e-01
9.943609022556391119e-01,1.849650349650349690e-01
9.943609022556391119e-01,1.850297306750612047e-01
9.943609022556391119e-01,1.850944716585024574e-01
9.943609022556391119e-01,1.851592579628981439e-01
9.943609022556391119e-01,1.852240896358543498e-01
9.943609022556391119e-01,1.852889667250437744e-01
9.943609022556391119e-01,1.853538892782060354e-01
9.943609022556391119e-01,1.854188573431475584e-01
9.943609022556391119e-01,1.854838709677419373e-01
9.943609022556391119e-01,1.855489301999298513e-01
9.943609022556391119e-01,1.856140350877192868e-01
9.943609022556391119e-01,1.856791856791856765e-01
9.943609022556391119e-01,1.857443820224718989e-01
9.943609022556391119e-01,1.858096241657885561e-01
9.943609022556391119e-01,1.858749121574139185e-01
9.943609022556391119e-01,1.859402460456942019e-01
9.943609022556391119e-01,1.860056258790435957e-01
9.943609022556391119e-01,1.860710517059444291e-01
9.943609022556391119e-01,1.861365235749472269e-01
9.943609022556391119e-01,1.862020415346709035e-01
9.943609022556391119e-01,1.862676056338028185e-01
9.943609022556391119e-01,1.863332159210989714e-01
9.943609022556391119e-01,1.863988724453840840e-01
9.943609022556391119e-01,1.864645752555516289e-01
9.943609022556391119e-01,1.865303244005641625e-01
9.943609022556391119e-01,1.865961199294532691e-01
9.943609022556391119e-01,1.866619618913196998e-01
9.943609022556391119e-01,1.867278503353335672e-01
9.943609022556391119e-01,1.867937853107344559e-01
9.943609022556391119e-01,1.868597668668315059e-01
9.943609022556391119e-01,1.869257950530035239e-01
9.943609022556391119e-01,1.869918699186991773e-01
9.943609022556391119e-01,1.870579915134370497e-01
9.943609022556391119e-01,1.871241598868058076e-01
9.943609022556391119e-01,1.871903750884642559e-01
9.943609022556391119e-01,1.872566371681415875e-01
9.943609022556391119e-01,1.873229461756373837e-01
9.943609022556391119e-01,1.873893021608218079e-01
9.943609022556391119e-01,1.874557051736357172e-01
