fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.123142250530785525e-03
0.000000000000000000e+00,8.917197452229299603e-01
4.038772213247173110e-04,8.917197452229299603e-01
4.038772213247173110e-04,8.938428874734607454e-01
8.077544426494346220e-04,8.938428874734607454e-01
8.077544426494346220e-04,9.002123142250531007e-01
1.211631663974151825e-03,9.002123142250531007e-01
1.211631663974151825e-03,9.129511677282378113e-01
1.615508885298869244e-03,9.129511677282378113e-01
1.615508885298869244e-03,9.150743099787685964e-01
3.231017770597738488e-03,9.150743099787685964e-01
3.231017770597738488e-03,9.171974522292993814e-01
4.442649434571890529e-03,9.171974522292993814e-01
4.442649434571890529e-03,9.214437367303609516e-01
6.058158319870759340e-03,9.214437367303609516e-01
6.058158319870759340e-03,9.235668789808917367e-01
7.673667205169628150e-03,9.235668789808917367e-01
7.673667205169628150e-03,9.256900212314225218e-01
8.481421647819063422e-03,9.256900212314225218e-01
8.481421647819063422e-03,9.299363057324840920e-01
8.885298869143781059e-03,9.299363057324840920e-01
8.885298869143781059e-03,9.363057324840764473e-01
9.693053311793214596e-03,9.363057324840764473e-01
9.693053311793214596e-03,9.405520169851380174e-01
1.009693053311793223e-02,9.405520169851380174e-01
1.009693053311793223e-02,9.426751592356688025e-01
1.252019386106623632e-02,9.426751592356688025e-01
1.252019386106623632e-02,9.447983014861995876e-01
1.373182552504038749e-02,9.447983014861995876e-01
1.373182552504038749e-02,9.490445859872611578e-01
1.413570274636510513e-02,9.490445859872611578e-01
1.413570274636510513e-02,9.511677282377919429e-01
1.453957996768982276e-02,9.511677282377919429e-01
1.453957996768982276e-02,9.532908704883227280e-01
1.534733441033925630e-02,9.532908704883227280e-01
1.534733441033925630e-02,9.554140127388535131e-01
1.898222940226171329e-02,9.554140127388535131e-01
1.898222940226171329e-02,9.575371549893842982e-01
2.180936995153473501e-02,9.575371549893842982e-01
2.180936995153473501e-02,9.596602972399150833e-01
2.221324717285945091e-02,9.596602972399150833e-01
2.221324717285945091e-02,9.639065817409766534e-01
2.261712439418416681e-02,9.639065817409766534e-01
2.261712439418416681e-02,9.681528662420382236e-01
2.302100161550888618e-02,9.681528662420382236e-01
2.302100161550888618e-02,9.723991507430997938e-01
2.423263327948303736e-02,9.723991507430997938e-01
2.423263327948303736e-02,9.745222929936305789e-01
2.544426494345718853e-02,9.745222929936305789e-01
2.544426494345718853e-02,9.808917197452229342e-01
2.665589660743133971e-02,9.808917197452229342e-01
2.665589660743133971e-02,9.830148619957537193e-01
2.705977382875605908e-02,9.830148619957537193e-01
2.705977382875605908e-02,9.851380042462845044e-01
2.746365105008077498e-02,9.851380042462845044e-01
2.746365105008077498e-02,9.893842887473460745e-01
2.867528271405492615e-02,9.893842887473460745e-01
2.867528271405492615e-02,9.915074309978768596e-01
3.150242326332795134e-02,9.915074309978768596e-01
3.150242326332795134e-02,9.936305732484076447e-01
3.231017770597738314e-02,9.936305732484076447e-01
3.231017770597738314e-02,9.957537154989384298e-01
4.967689822294022589e-02,9.957537154989384298e-01
4.967689822294022589e-02,9.978768577494692149e-01
5.129240710823909644e-02,9.978768577494692149e-01
5.129240710823909644e-02,1.000000000000000000e+00
1.631663974151857932e-01,1.000000000000000000e+00
1.639741518578352319e-01,1.000000000000000000e+00
3.857027463651049870e-01,1.000000000000000000e+00
3.865105008077544535e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
