recall,precision
1.000000000000000000e+00,1.425178147268408579e-01
1.000000000000000000e+00,1.425661914460285007e-01
1.000000000000000000e+00,1.426146010186757351e-01
1.000000000000000000e+00,1.426630434782608647e-01
1.000000000000000000e+00,1.427115188583078509e-01
1.000000000000000000e+00,1.427600271923861186e-01
1.000000000000000000e+00,1.428085685141108341e-01
1.000000000000000000e+00,1.428571428571428492e-01
1.000000000000000000e+00,1.429057502551888403e-01
1.000000000000000000e+00,1.429543907420013638e-01
1.000000000000000000e+00,1.430030643513789668e-01
1.000000000000000000e+00,1.430517711171662154e-01
1.000000000000000000e+00,1.431005110732538332e-01
1.000000000000000000e+00,1.431492842535787291e-01
1.000000000000000000e+00,1.431980906921241081e-01
1.000000000000000000e+00,1.432469304229194995e-01
1.000000000000000000e+00,1.432958034800409508e-01
1.000000000000000000e+00,1.433447098976109169e-01
1.000000000000000000e+00,1.433936497097985652e-01
1.000000000000000000e+00,1.434426229508196649e-01
1.000000000000000000e+00,1.434916296549368087e-01
1.000000000000000000e+00,1.435406698564593297e-01
1.000000000000000000e+00,1.435897435897435792e-01
1.000000000000000000e+00,1.436388508891928983e-01
1.000000000000000000e+00,1.436879917892576186e-01
1.000000000000000000e+00,1.437371663244353115e-01
1.000000000000000000e+00,1.437863745292707884e-01
1.000000000000000000e+00,1.438356164383561564e-01
1.000000000000000000e+00,1.438848920863309289e-01
1.000000000000000000e+00,1.439342015078821091e-01
1.000000000000000000e+00,1.439835447377442457e-01
1.000000000000000000e+00,1.440329218106995990e-01
1.000000000000000000e+00,1.440823327615780580e-01
1.000000000000000000e+00,1.441317776252573901e-01
1.000000000000000000e+00,1.441812564366632410e-01
1.000000000000000000e+00,1.442307692307692180e-01
1.000000000000000000e+00,1.442803160425970566e-01
1.000000000000000000e+00,1.443298969072164817e-01
1.000000000000000000e+00,1.443795118597456240e-01
1.000000000000000000e+00,1.444291609353507699e-01
1.000000000000000000e+00,1.444788441692466396e-01
1.000000000000000000e+00,1.445285615966964976e-01
1.000000000000000000e+00,1.445783132530120418e-01
1.000000000000000000e+00,1.446280991735537091e-01
1.000000000000000000e+00,1.446779193937306196e-01
1.000000000000000000e+00,1.447277739490006876e-01
1.000000000000000000e+00,1.447776628748707328e-01
1.000000000000000000e+00,1.448275862068965636e-01
1.000000000000000000e+00,1.448775439806830045e-01
1.000000000000000000e+00,1.449275362318840632e-01
1.000000000000000000e+00,1.449775629962029577e-01
1.000000000000000000e+00,1.450276243093922557e-01
1.000000000000000000e+00,1.450777202072538741e-01
1.000000000000000000e+00,1.451278507256392458e-01
1.000000000000000000e+00,1.451780159004493476e-01
1.000000000000000000e+00,1.452282157676348662e-01
1.000000000000000000e+00,1.452784503631961155e-01
1.000000000000000000e+00,1.453287197231833972e-01
1.000000000000000000e+00,1.453790238836967785e-01
1.000000000000000000e+00,1.454293628808864258e-01
1.000000000000000000e+00,1.454797367509525485e-01
1.000000000000000000e+00,1.455301455301455382e-01
1.000000000000000000e+00,1.455805892547660241e-01
1.000000000000000000e+00,1.456310679611650394e-01
1.000000000000000000e+00,1.456815816857440216e-01
1.000000000000000000e+00,1.457321304649548954e-01
1.000000000000000000e+00,1.457827143353002397e-01
1.000000000000000000e+00,1.458333333333333426e-01
1.000000000000000000e+00,1.458839874956582017e-01
1.000000000000000000e+00,1.459346768589298016e-01
1.000000000000000000e+00,1.459854014598540028e-01
1.000000000000000000e+00,1.460361613351877641e-01
1.000000000000000000e+00,1.460869565217391419e-01
1.000000000000000000e+00,1.461377870563674297e-01
1.000000000000000000e+00,1.461886529759832964e-01
1.000000000000000000e+00,1.462395543175487589e-01
1.000000000000000000e+00,1.462904911180773204e-01
1.000000000000000000e+00,1.463414634146341375e-01
1.000000000000000000e+00,1.463924712443359921e-01
1.000000000000000000e+00,1.464435146443514579e-01
1.000000000000000000e+00,1.464945936519009284e-01
1.000000000000000000e+00,1.465457083042568109e-01
1.000000000000000000e+00,1.465968586387434436e-01
1.000000000000000000e+00,1.466480446927374282e-01
1.000000000000000000e+00,1.466992665036674914e-01
1.000000000000000000e+00,1.467505241090146795e-01
1.000000000000000000e+00,1.468018175463124686e-01
1.000000000000000000e+00,1.468531468531468487e-01
1.000000000000000000e+00,1.469045120671563509e-01
1.000000000000000000e+00,1.469559132260321865e-01
1.000000000000000000e+00,1.470073503675183857e-01
1.000000000000000000e+00,1.470588235294117696e-01
1.000000000000000000e+00,1.471103327495621726e-01
1.000000000000000000e+00,1.471618780658724701e-01
1.000000000000000000e+00,1.472134595162986337e-01
1.000000000000000000e+00,1.472650771388499258e-01
1.000000000000000000e+00,1.473167309715889273e-01
1.000000000000000000e+00,1.473684210526315652e-01
1.000000000000000000e+00,1.474201474201474182e-01
1.000000000000000000e+00,1.474719101123595499e-01
1.000000000000000000e+00,1.475237091675447865e-01
1.000000000000000000e+00,1.475755446240337443e-01
1.000000000000000000e+00,1.476274165202108857e-01
1.000000000000000000e+00,1.476793248945147685e-01
1.000000000000000000e+00,1.477312697854379075e-01
1.000000000000000000e+00,1.477832512315271074e-01
1.000000000000000000e+00,1.478352692713833239e-01
1.000000000000000000e+00,1.478873239436619691e-01
1.000000000000000000e+00,1.479394152870729118e-01
1.000000000000000000e+00,1.479915433403805602e-01
1.000000000000000000e+00,1.480437081424039458e-01
1.000000000000000000e+00,1.480959097320169171e-01
1.000000000000000000e+00,1.481481481481481399e-01
1.000000000000000000e+00,1.482004234297812362e-01
1.000000000000000000e+00,1.482527356159548115e-01
1.000000000000000000e+00,1.483050847457627053e-01
1.000000000000000000e+00,1.483574708583539348e-01
1.000000000000000000e+00,1.484098939929328620e-01
1.000000000000000000e+00,1.484623541887592768e-01
1.000000000000000000e+00,1.485148514851485080e-01
1.000000000000000000e+00,1.485673859214715342e-01
1.000000000000000000e+00,1.486199575371549841e-01
1.000000000000000000e+00,1.486725663716814139e-01
1.000000000000000000e+00,1.487252124645892237e-01
1.000000000000000000e+00,1.487778958554729081e-01
1.000000000000000000e+00,1.488306165839829998e-01
1.000000000000000000e+00,1.488833746898262922e-01
1.000000000000000000e+00,1.489361702127659504e-01
1.000000000000000000e+00,1.489890031926215108e-01
1.000000000000000000e+00,1.490418736692689927e-01
1.000000000000000000e+00,1.490947816826411199e-01
1.000000000000000000e+00,1.491477272727272652e-01
1.000000000000000000e+00,1.492007104795737005e-01
1.000000000000000000e+00,1.492537313432835688e-01
1.000000000000000000e+00,1.493067899040170510e-01
1.000000000000000000e+00,1.493598862019914764e-01
1.000000000000000000e+00,1.494130202774813232e-01
1.000000000000000000e+00,1.494661921708184960e-01
1.000000000000000000e+00,1.495194019223922977e-01
1.000000000000000000e+00,1.495726495726495686e-01
1.000000000000000000e+00,1.496259351620947697e-01
1.000000000000000000e+00,1.496792587312900935e-01
1.000000000000000000e+00,1.497326203208556028e-01
1.000000000000000000e+00,1.497860199714693419e-01
1.000000000000000000e+00,1.498394577238672809e-01
1.000000000000000000e+00,1.498929336188436767e-01
1.000000000000000000e+00,1.499464476972509897e-01
1.000000000000000000e+00,1.499999999999999944e-01
1.000000000000000000e+00,1.500535905680600302e-01
1.000000000000000000e+00,1.501072194424588890e-01
1.000000000000000000e+00,1.501608866642831497e-01
1.000000000000000000e+00,1.502145922746781215e-01
1.000000000000000000e+00,1.502683363148479556e-01
1.000000000000000000e+00,1.503221188260558394e-01
1.000000000000000000e+00,1.503759398496240518e-01
1.000000000000000000e+00,1.504297994269341021e-01
1.000000000000000000e+00,1.504836975994267301e-01
1.000000000000000000e+00,1.505376344086021556e-01
1.000000000000000000e+00,1.505916098960200789e-01
1.000000000000000000e+00,1.506456241032998467e-01
1.000000000000000000e+00,1.506996770721205636e-01
1.000000000000000000e+00,1.507537688442210921e-01
1.000000000000000000e+00,1.508078994614003576e-01
1.000000000000000000e+00,1.508620689655172376e-01
1.000000000000000000e+00,1.509162773984908390e-01
1.000000000000000000e+00,1.509705248023004986e-01
1.000000000000000000e+00,1.510248112189859770e-01
1.000000000000000000e+00,1.510791366906474864e-01
1.000000000000000000e+00,1.511335012594458571e-01
1.000000000000000000e+00,1.511879049676025932e-01
1.000000000000000000e+00,1.512423478574000668e-01
1.000000000000000000e+00,1.512968299711815456e-01
1.000000000000000000e+00,1.513513513513513598e-01
1.000000000000000000e+00,1.514059120403749015e-01
1.000000000000000000e+00,1.514605120807789307e-01
1.000000000000000000e+00,1.515151515151515194e-01
1.000000000000000000e+00,1.515698303861421903e-01
1.000000000000000000e+00,1.516245487364620836e-01
1.000000000000000000e+00,1.516793066088840680e-01
1.000000000000000000e+00,1.517341040462427681e-01
1.000000000000000000e+00,1.517889410914347592e-01
1.000000000000000000e+00,1.518438177874186501e-01
1.000000000000000000e+00,1.518987341772151944e-01
1.000000000000000000e+00,1.519536903039073739e-01
1.000000000000000000e+00,1.520086862106406200e-01
1.000000000000000000e+00,1.520637219406227314e-01
1.000000000000000000e+00,1.521187975371242340e-01
1.000000000000000000e+00,1.521739130434782705e-01
1.000000000000000000e+00,1.522290685030808222e-01
1.000000000000000000e+00,1.522842639593908753e-01
1.000000000000000000e+00,1.523394994559303661e-01
1.000000000000000000e+00,1.523947750362844578e-01
1.000000000000000000e+00,1.524500907441016240e-01
